EPCI,Pas de reponse_2014,Non_2014,Oui_2014,Pas de reponse_2015,Non_2015,Oui_2015,Pas de reponse_2016,Non_2016,Oui_2016,Pas de reponse_2017,Non_2017,Oui_2017
200000438,0,12,3,0,10,0,0,11,2,0,9,0
200023778,0,33,6,0,24,4,0,24,4,1,22,1
200033298,0,12,3,0,17,0,0,6,2,0,6,2
200040475,0,4,0,0,4,0,0,3,1,0,4,0
200042182,0,3,1,0,6,1,0,5,0,0,5,1
200048551,1,17,3,0,13,2,0,10,4,0,9,2
200055887,0,14,1,0,17,2,0,11,4,0,11,3
200060010,0,20,5,1,19,2,0,10,5,0,12,8
200067346,0,33,6,1,25,10,0,16,6,1,21,4
200067635,1,32,1,0,28,4,0,25,4,1,18,5
200067866,1,25,5,0,15,4,0,17,4,0,13,4
200068955,0,11,5,0,12,0,0,6,5,0,8,2
200068963,0,3,1,0,3,0,0,1,1,0,2,2
200070233,0,37,7,0,34,7,0,21,4,0,11,11
200070373,1,8,1,0,6,3,0,6,0,0,3,4
200071165,0,13,2,0,12,4,0,12,5,0,10,7
200071546,1,15,3,0,10,4,0,10,2,0,7,2
200071553,0,44,7,0,43,3,0,36,5,1,26,13
200071629,2,43,7,0,30,1,1,26,1,0,21,1
200071678,2,41,4,0,30,8,0,26,9,0,27,6
200071868,1,28,5,0,31,0,0,17,3,0,14,4
200071876,2,44,5,0,41,7,0,37,2,1,32,6
200071900,2,30,2,0,22,2,0,17,5,0,11,5
200071918,0,17,4,1,14,4,0,9,4,0,11,6
200071934,1,13,3,0,15,3,1,11,0,0,7,1
200072676,0,5,0,0,4,0,0,1,0,0,4,1
200072684,0,12,1,0,8,1,0,4,2,0,6,1
200072692,0,10,0,0,6,0,0,4,0,0,4,1
200072700,0,6,1,0,4,0,0,1,1,0,2,0
200072718,0,8,1,0,4,0,0,9,0,0,6,2
200072726,0,13,0,0,15,0,1,6,4,0,4,0
200072734,0,21,6,0,26,4,1,12,0,1,10,2
200072882,1,24,4,0,23,3,0,22,3,0,9,3
200073112,1,5,3,0,6,0,0,5,3,0,5,2
200073260,1,43,4,0,36,3,0,22,5,0,20,9
243500741,1,7,2,0,10,1,0,7,3,0,7,1
244400404,4,87,15,2,68,15,2,58,13,1,46,15
244400438,1,14,4,0,16,1,0,10,8,0,5,3
244400503,1,27,6,0,20,5,0,12,6,0,13,5
244400537,0,21,2,1,21,5,1,19,0,0,13,1
244400552,0,26,2,0,16,2,0,13,3,0,8,3
244400586,0,20,8,0,16,3,0,13,4,0,10,1
244400610,0,27,1,0,24,2,1,19,7,0,23,4
244400644,1,35,4,1,30,7,0,21,7,2,17,7
244900015,3,56,13,1,49,13,1,36,9,1,36,10
244900809,1,20,2,0,14,4,1,15,2,1,13,4
244900882,0,22,1,1,11,4,0,6,4,0,4,4
245300223,0,9,1,0,6,1,0,5,1,0,2,1
245300306,0,9,0,0,7,1,0,5,1,0,4,2
245300330,0,44,3,0,28,5,0,22,6,1,12,1
245300355,0,9,0,0,10,2,0,8,1,0,4,1
245300389,2,15,1,0,17,2,0,12,5,0,10,0
245300447,1,21,1,0,11,1,0,10,4,0,10,0
246100663,0,0,0,0,0,0,0,1,0,0,0,0
247200090,1,4,0,0,3,0,0,3,0,0,1,0
247200132,0,13,2,0,5,1,0,4,2,0,5,1
247200348,0,5,0,0,6,0,0,2,0,0,2,1
247200421,0,6,0,0,4,2,0,5,0,1,2,1
247200447,0,5,1,0,4,0,0,2,0,0,3,0
247200629,0,12,4,0,10,0,0,4,0,1,5,0
247200686,0,6,2,0,4,1,0,4,0,0,5,0
248500191,0,9,4,0,14,3,0,6,5,0,13,1
248500258,0,13,2,0,8,3,0,9,0,0,6,0
248500340,1,37,5,0,28,3,1,23,4,0,16,4
248500415,0,13,4,0,12,3,0,13,1,1,6,4
248500464,1,26,3,0,11,5,0,13,2,1,11,4
248500563,0,17,2,1,13,1,0,7,5,0,4,3
248500589,4,52,11,1,50,13,1,36,9,3,25,6
248500621,1,23,6,0,15,5,0,14,5,1,9,4
248500662,1,20,2,0,17,0,0,9,2,0,10,2
