EPCI,CDI,CDD,Interimaire
200000438,4.125,0.625,0
200023778,4.381,0.524,0.333
200033298,3,0,0
200040475,0.5,0.5,0
200042182,6.6,0.8,0.2
200048551,1.625,0.25,0
200055887,4.5,0.1,0.3
200060010,3.125,0.25,0
200067346,3.2,0.75,0.25
200067635,5.188,0.312,0.25
200067866,2.8,0.2,0.2
200068955,3.429,0.429,0.143
200068963,4.75,0.25,1.5
200070233,4.533,0.733,0
200070373,3.286,0,0
200071165,6.167,0.333,0.167
200071546,4.857,0.429,0
200071553,4.778,0.148,0.111
200071629,4.118,0.235,0
200071678,5.583,0.333,0.292
200071868,4.786,0.286,0
200071876,3.517,0.345,0.207
200071900,3.273,0.182,0
200071918,10.231,0.769,0.769
200071934,2.4,0,0
200072676,3.75,0.5,0
200072684,1.4,0.2,0
200072692,7.75,0,0.25
200072700,1.5,0,0
200072718,3,0.143,0
200072726,1.5,3,0.5
200072734,3,0.222,0
200072882,4.75,0.125,0.375
200073112,3.333,0,0
200073260,3.652,0.783,0.087
243500741,3.714,0.143,0
244400404,3.553,0.184,0.184
244400438,8.4,0.4,0.4
244400503,4.182,0.091,0.273
244400537,3.818,0.455,0.364
244400552,2.7,0.6,0.1
244400586,5.778,0.444,0
244400610,4.773,0.455,0.182
244400644,6.125,0.25,0.542
244900015,7.219,0.75,0.656
244900809,5.133,0.067,0.133
244900882,4.857,0.143,0
245300223,10,0,0
245300306,3.6,0.4,0
245300330,4.75,0,0.125
245300355,2,0.25,0
245300389,2.5,0.875,0.125
245300447,3.857,0.429,0.286
246100663,NA,NA,NA
247200090,NA,NA,NA
247200132,4.333,0,1
247200348,2,0,0.333
247200421,3,0,1.333
247200447,2,0,0
247200629,2,0,0
247200686,2.667,0.333,0
248500191,4.364,0.182,0
248500258,2.75,0.25,0
248500340,6,0.286,0.214
248500415,3,0,0
248500464,3.429,0.357,0.286
248500563,5.333,2.333,0.5
248500589,8.6,0.36,0.48
248500621,8,1.111,0.444
248500662,4,0.222,0.111
