Epci,Année,Oui
200071934,2014,3.44827586206897
200071934,2015,13.7931034482759
200071934,2016,31.5789473684211
200071934,2017,33.3333333333333
200072882,2014,4.34782608695652
200072882,2015,4.54545454545455
200072882,2016,21.7391304347826
200072882,2017,36.3636363636364
200070233,2014,8.33333333333333
200070233,2015,16.1290322580645
200070233,2016,15
200070233,2017,38.8888888888889
248500258,2014,8.7719298245614
248500258,2015,17.1428571428571
248500258,2016,17.6470588235294
248500258,2017,8
248500191,2014,10
248500191,2015,14.2857142857143
248500191,2016,10
248500191,2017,36.3636363636364
248500662,2014,5.88235294117647
248500662,2015,7.69230769230769
248500662,2016,11.1111111111111
248500662,2017,12.5
248500464,2014,7.69230769230769
248500464,2015,16.6666666666667
248500464,2016,23.0769230769231
248500464,2017,13.3333333333333
200073260,2014,5.40540540540541
200073260,2015,6.89655172413793
200073260,2016,25
200073260,2017,15.7894736842105
248500340,2014,9.09090909090909
248500340,2015,8.69565217391304
248500340,2016,9.52380952380952
248500340,2017,58.3333333333333
200023778,2014,8.57142857142857
200023778,2015,8
200023778,2016,7.69230769230769
200023778,2017,14.2857142857143
200071546,2014,10.7692307692308
200071546,2015,9.43396226415094
200071546,2016,28.5714285714286
200071546,2017,17.1428571428571
248500530,2014,0
248500530,2015,6.66666666666667
248500530,2016,25
248500530,2017,28.5714285714286
200071918,2014,16.6666666666667
200071918,2015,21.4285714285714
200071918,2016,16.6666666666667
200071918,2017,30.7692307692308
248500589,2014,16
248500589,2015,22.4137931034483
248500589,2016,11.7647058823529
248500589,2017,47.8260869565217
248500415,2014,7.14285714285714
248500415,2015,0
248500415,2016,27.2727272727273
248500415,2017,0
200071900,2014,0
200071900,2015,5.88235294117647
200071900,2016,15.3846153846154
200071900,2017,41.6666666666667
248500621,2014,10.7142857142857
248500621,2015,12.5
248500621,2016,23.5294117647059
248500621,2017,50
200060010,2014,0
200060010,2015,16.6666666666667
200060010,2016,7.69230769230769
200060010,2017,27.7777777777778
200068955,2014,22.5806451612903
200068955,2015,17.3913043478261
200068955,2016,22.2222222222222
200068955,2017,28.5714285714286
200071868,2014,3.7037037037037
200071868,2015,11.5384615384615
200071868,2016,6.66666666666667
200071868,2017,33.3333333333333
200071553,2014,7.5
200071553,2015,12.5
200071553,2016,15.1515151515152
200071553,2017,26.6666666666667
200071876,2014,7.89473684210526
200071876,2015,12.5
200071876,2016,16.1290322580645
200071876,2017,23.3333333333333
244900015,2014,5.55555555555556
244900015,2015,18.1818181818182
244900015,2016,14.7058823529412
244900015,2017,30
200071678,2014,2.85714285714286
200071678,2015,5.88235294117647
200071678,2016,29.6296296296296
200071678,2017,33.3333333333333
244900809,2014,9.52380952380952
244900809,2015,18.75
244900809,2016,18.75
244900809,2017,43.75
244400552,2014,4.16666666666667
244400552,2015,0
244400552,2016,6.66666666666667
244400552,2017,18.1818181818182
200072726,2014,6.06060606060606
200072726,2015,3.03030303030303
200072726,2016,25
200072726,2017,13.3333333333333
244400404,2014,1.20481927710843
244400404,2015,9.23076923076923
244400404,2016,13.7931034482759
244400404,2017,24.4897959183673
244400644,2014,19.4444444444444
244400644,2015,11.1111111111111
244400644,2016,34.6153846153846
244400644,2017,50
243500741,2014,0
243500741,2015,22.2222222222222
243500741,2016,10
243500741,2017,28.5714285714286
200000438,2014,14.2857142857143
200000438,2015,10
200000438,2016,7.69230769230769
200000438,2017,0
200067866,2014,4.34782608695652
200067866,2015,18.75
200067866,2016,15.7894736842105
200067866,2017,23.0769230769231
200067346,2014,5.88235294117647
200067346,2015,9.375
200067346,2016,19.047619047619
200067346,2017,9.09090909090909
244400503,2014,3.7037037037037
244400503,2015,5
244400503,2016,23.5294117647059
244400503,2017,23.5294117647059
244400610,2014,16.6666666666667
244400610,2015,8.33333333333333
244400610,2016,13.6363636363636
244400610,2017,24
244400586,2014,15.3846153846154
244400586,2015,23.5294117647059
244400586,2016,18.75
244400586,2017,22.2222222222222
200072734,2014,18.1818181818182
200072734,2015,16
200072734,2016,0
200072734,2017,33.3333333333333
245300223,2014,8.69565217391304
245300223,2015,14.8148148148148
245300223,2016,7.40740740740741
245300223,2017,9.52380952380952
245300330,2014,12.1212121212121
245300330,2015,3.84615384615385
245300330,2016,14.2857142857143
245300330,2017,36.3636363636364
200055887,2014,12.9032258064516
200055887,2015,25
200055887,2016,21.7391304347826
200055887,2017,15
245300389,2014,13.7931034482759
245300389,2015,9.09090909090909
245300389,2016,10
245300389,2017,22.2222222222222
247200686,2014,2.77777777777778
247200686,2015,12.5
247200686,2016,21.0526315789474
247200686,2017,23.8095238095238
247200629,2014,10.8108108108108
247200629,2015,11.5384615384615
247200629,2016,5.26315789473684
247200629,2017,21.0526315789474
247200447,2014,0
247200447,2015,6.66666666666667
247200447,2016,27.2727272727273
247200447,2017,22.2222222222222
200072718,2014,11.7647058823529
200072718,2015,12.5
200072718,2016,0
200072718,2017,18.1818181818182
200072676,2014,0
200072676,2015,0
200072676,2016,0
200072676,2017,33.3333333333333
246100663,2014,0
246100663,2015,0
246100663,2016,0
246100663,2017,0
