EPCI,Annee,Oui,Non
200000438,2014,0.2,0.8
200023778,2014,0.135,0.865
200055887,2014,0.152,0.848
200060010,2014,0.136,0.864
200067346,2014,0.139,0.861
200067866,2014,0.111,0.889
200068955,2014,0.152,0.848
200070233,2014,0.132,0.868
200071546,2014,0.123,0.877
200071553,2014,0.133,0.867
200071678,2014,0.053,0.947
200071868,2014,0.1,0.9
200071876,2014,0.051,0.949
200071900,2014,0,1
200071918,2014,0.211,0.789
200071934,2014,0.121,0.879
200072676,2014,0,1
200072718,2014,0.167,0.833
200072726,2014,0.061,0.939
200072734,2014,0.25,0.75
200072882,2014,0.115,0.885
200073260,2014,0.028,0.972
243500741,2014,0.222,0.778
244400404,2014,0.146,0.854
244400503,2014,0.194,0.806
244400552,2014,0.077,0.923
244400586,2014,0.269,0.731
244400610,2014,0.04,0.96
244400644,2014,0.105,0.895
244900015,2014,0.164,0.836
244900809,2014,0.095,0.905
245300223,2014,0.102,0.898
245300330,2014,0.05,0.95
245300389,2014,0.032,0.968
246100663,2014,0,0
247200447,2014,0.083,0.917
247200629,2014,0.194,0.806
247200686,2014,0.103,0.897
248500191,2014,0.364,0.636
248500258,2014,0.143,0.857
248500340,2014,0.111,0.889
248500415,2014,0.2,0.8
248500464,2014,0.074,0.926
248500530,2014,0.143,0.857
248500589,2014,0.154,0.846
248500621,2014,0.207,0.793
248500662,2014,0.056,0.944
200000438,2015,0,1
200023778,2015,0.148,0.852
200055887,2015,0.056,0.944
200060010,2015,0.1,0.9
200067346,2015,0.312,0.688
200067866,2015,0.222,0.778
200068955,2015,0.167,0.833
200070233,2015,0.143,0.857
200071546,2015,0.123,0.877
200071553,2015,0.071,0.929
200071678,2015,0.194,0.806
200071868,2015,0,1
200071876,2015,0.125,0.875
200071900,2015,0.1,0.9
200071918,2015,0.214,0.786
200071934,2015,0.138,0.862
200072676,2015,0,1
200072718,2015,0,1
200072726,2015,0.079,0.921
200072734,2015,0.077,0.923
200072882,2015,0.043,0.957
200073260,2015,0.062,0.938
243500741,2015,0.111,0.889
244400404,2015,0.162,0.838
244400503,2015,0.19,0.81
244400552,2015,0.133,0.867
244400586,2015,0.167,0.833
244400610,2015,0.083,0.917
244400644,2015,0.189,0.811
244900015,2015,0.213,0.787
244900809,2015,0.222,0.778
245300223,2015,0.103,0.897
245300330,2015,0.069,0.931
245300389,2015,0.128,0.872
246100663,2015,0,0
247200447,2015,0.2,0.8
247200629,2015,0,1
247200686,2015,0.185,0.815
248500191,2015,0.2,0.8
248500258,2015,0.1,0.9
248500340,2015,0.08,0.92
248500415,2015,0.214,0.786
248500464,2015,0.267,0.733
248500530,2015,0.25,0.75
248500589,2015,0.22,0.78
248500621,2015,0.235,0.765
248500662,2015,0,1
200000438,2016,0.154,0.846
200023778,2016,0.143,0.857
200055887,2016,0.25,0.75
200060010,2016,0.286,0.714
200067346,2016,0.238,0.762
200067866,2016,0.2,0.8
200068955,2016,0.368,0.632
200070233,2016,0.095,0.905
200071546,2016,0.22,0.78
200071553,2016,0.143,0.857
200071678,2016,0.321,0.679
200071868,2016,0.067,0.933
200071876,2016,0.03,0.97
200071900,2016,0.067,0.933
200071918,2016,0.333,0.667
200071934,2016,0.19,0.81
200072676,2016,0,1
200072718,2016,0.1,0.9
200072726,2016,0.115,0.885
200072734,2016,0,1
200072882,2016,0.13,0.87
200073260,2016,0.095,0.905
243500741,2016,0.3,0.7
244400404,2016,0.148,0.852
244400503,2016,0.294,0.706
244400552,2016,0.188,0.812
244400586,2016,0.235,0.765
244400610,2016,0.292,0.708
244400644,2016,0.231,0.769
244900015,2016,0.206,0.794
244900809,2016,0.118,0.882
245300223,2016,0.276,0.724
245300330,2016,0.174,0.826
245300389,2016,0.226,0.774
246100663,2016,0,1
247200447,2016,0,1
247200629,2016,0.15,0.85
247200686,2016,0.1,0.9
248500191,2016,0.4,0.6
248500258,2016,0.029,0.971
248500340,2016,0.045,0.955
248500415,2016,0.083,0.917
248500464,2016,0.143,0.857
248500530,2016,0.294,0.706
248500589,2016,0.194,0.806
248500621,2016,0.263,0.737
248500662,2016,0.111,0.889
200000438,2017,0,1
200023778,2017,0.048,0.952
200055887,2017,0.182,0.818
200060010,2017,0.4,0.6
200067346,2017,0.167,0.833
200067866,2017,0.25,0.75
200068955,2017,0.267,0.733
200070233,2017,0.5,0.5
200071546,2017,0.25,0.75
200071553,2017,0.312,0.688
200071678,2017,0.115,0.885
200071868,2017,0.231,0.769
200071876,2017,0.125,0.875
200071900,2017,0.25,0.75
200071918,2017,0.385,0.615
200071934,2017,0.25,0.75
200072676,2017,0.25,0.75
200072718,2017,0.364,0.636
200072726,2017,0.067,0.933
200072734,2017,0.182,0.818
200072882,2017,0.25,0.75
200073260,2017,0.19,0.81
243500741,2017,0.125,0.875
244400404,2017,0.269,0.731
244400503,2017,0.235,0.765
244400552,2017,0.273,0.727
244400586,2017,0.1,0.9
244400610,2017,0.154,0.846
244400644,2017,0.304,0.696
244900015,2017,0.229,0.771
244900809,2017,0.235,0.765
245300223,2017,0.13,0.87
245300330,2017,0,1
245300389,2017,0.1,0.9
246100663,2017,0,0
247200447,2017,0.222,0.778
247200629,2017,0.15,0.85
247200686,2017,0.25,0.75
248500191,2017,0.083,0.917
248500258,2017,0.038,0.962
248500340,2017,0.067,0.933
248500415,2017,0.25,0.75
248500464,2017,0.286,0.714
248500530,2017,0.467,0.533
248500589,2017,0.185,0.815
248500621,2017,0.273,0.727
248500662,2017,0.125,0.875
