EPCI,Electricité,maçonnerie-carrelage,menuiserie-charpente,Peinture,plâtrerie-isolation,plomberie-chauffage-couverture
200000438,0,0,2,0,0,2
200023778,2,2,0,0,2,0
200055887,0,0,5,0,0,1
200060010,2,4,5,0,0,1
200067346,0,0,0,7,1,2
200067866,0,1,3,0,0,1
200068955,1,0,1,0,0,2
200070233,1,2,0,0,3,3
200071546,4,0,6,2,0,2
200071553,1,2,3,0,0,4
200071678,1,2,4,0,1,3
200071868,0,0,1,0,1,4
200071876,1,4,2,0,0,5
200071900,0,4,0,0,0,0
200071918,3,4,10,0,0,0
200071934,1,0,2,0,0,0
200072676,0,0,1,0,0,0
200072718,0,1,2,0,0,1
200072726,0,0,5,0,0,1
200072734,0,3,1,0,0,1
200072882,3,1,3,3,0,0
200073260,1,4,0,2,0,0
243500741,0,0,0,0,0,0
244400404,1,2,0,4,0,0
244400503,1,2,2,0,0,0
244400552,1,1,2,2,0,2
244400586,0,2,0,1,0,2
244400610,2,3,2,1,0,1
244400644,0,0,6,0,1,6
244900015,3,4,17,5,0,9
244900809,1,5,1,0,0,2
245300223,3,0,2,0,1,5
245300330,0,1,0,1,0,2
245300389,2,3,4,1,0,1
246100663,0,0,0,0,0,0
247200447,1,0,0,0,0,1
247200629,0,1,5,0,0,0
247200686,1,5,6,0,0,1
248500191,0,4,0,2,0,0
248500258,2,3,1,0,0,0
248500340,1,0,2,0,0,0
248500415,0,1,2,0,0,1
248500464,0,1,0,1,0,0
248500530,0,3,2,0,0,5
248500589,3,3,3,1,0,8
248500621,0,0,4,4,1,1
248500662,0,0,0,0,0,1
